name,description,month,day,scope,category,suggested_hashtags,idea_templates,is_active
Hari Pancasila,Pancasila sebagai dasar negara — konten nasionalisme,6,1,national,umum,Pancasila;BhinnekaTunggalIka,"Refleksi: Makna Pancasila dalam bisnis inklusif
Edukasi: 5 Sila Pancasila yang relevan dengan UMKM",true
Hari Raya Idul Adha,Hari raya kurban — momentum berbagi & konten keagamaan,6,7,international,umum,IdulAdha;Qurban,"Konten keagamaan: Makna berbagi dalam bisnis
Promo: Diskon spesial hari raya",true
Hari Kemerdekaan RI,Hari kemerdekaan 17 Agustus — semangat nasionalisme,8,17,national,umum,DirgahayuRI;17Agustus,"Semangat: Cerita bisnis lokal yang mengharumkan nama Indonesia
Promo: Merdeka Sale — diskon 17% atau 81.7rb",true
Hari UMKM Nasional,Apresiasi untuk usaha mikro kecil menengah,8,18,international,umum,HariUMKM;UMKMNaik,"Inspirasi: Cerita sukses UMKM binaanmu
Promo: Kolaborasi UMKM — bundle produk lokal",true
Hari Batik Nasional,Penghargaan untuk batik Indonesia — konten budaya,10,2,national,umum,HariBatik;BatikIndonesia,"Konten budaya: Sejarah batik dan makna motifnya
Promo: Koleksi batik spesial hari ini",true
Hari Pangan Sedunia,Kesadaran pangan — cocok untuk brand kuliner,10,16,international,kuliner,WorldFoodDay;HariPangan,"Edukasi: Fakta pangan yang jarang diketahui
Tips: 5 resep hemat menggunakan bahan lokal",true
Hari Sumpah Pemuda,Semangat pemuda Indonesia — konten inspiratif,10,28,national,umum,SumpahPemuda;PemudaIndonesia,"Inspirasi: Cerita pengusaha muda Indonesia
Engagement: Apa mimpi besarmu sebagai kreator?",true
Hari Halloween,Momentum konten kreatif & seru,10,31,international,umum,Halloween;TrickOrTreat,"Kreatif: Dekorasi / kostum bertema Halloween
Engagement: Challenge foto Halloween terbaik",true
Hari Pahlawan,Penghargaan untuk pahlawan — konten nasionalisme,11,10,national,umum,HariPahlawan;PahlawanIndonesia,"Inspirasi: Cerita pahlawan yang menginspirasi bisnismu
Refleksi: Nilai kepahlawanan dalam dunia usaha",true
Hari Kesehatan Nasional,Kesadaran kesehatan — cocok untuk brand wellness,11,12,national,kuliner,HariKesehatan;SehatItuPenting,"Tips: 5 kebiasaan sehat untuk pebisnis sibuk
Edukasi: Fakta kesehatan yang perlu diketahui",true
Hari Thanksgiving,Momentum konten gratitude & berbagi,11,27,international,umum,Thanksgiving;GratitudeDay,"Refleksi: 5 hal yang patut disyukuri dalam bisnis
Konten emosional: Ucapan terima kasih untuk pelanggan setia",true
Hari Belanja Online Nasional (Harbolnas),Hari belanja online terbesar di Indonesia,12,12,national,retail,Harbolnas;BelanjaOnline,"Promo: Flash sale 12.12 — diskon besar-besaran
Engagement: Wishlist apa yang sudah kamu incar?",true
Hari Natal,Hari raya Kristen — momentum berbagi & kebersamaan,12,25,international,umum,Natal;Christmas,"Konten kebersamaan: Cerita kebaikan di hari Natal
Promo: Christmas gift guide untuk keluarga",true
Maulid Nabi,Momentum konten keagamaan & refleksi,9,5,international,umum,MaulidNabi;Maulud,"Inspirasi: Teladan Nabi dalam berbisnis
Konten keagamaan: Hikmah Maulid Nabi",true
Hari Raya Nyepi,Tahun Baru Hindu — momentum konten inklusif & refleksi,3,29,international,umum,Nyepi;SilentDay,"Refleksi: Makna kesepian untuk produktivitas bisnis
Konten budaya: Tradisi unik Nyepi di Bali",true
Hari Tuna Netra Sedunia,Kesadaran disabilitas — konten inklusif,10,15,international,umum,WorldBlindDay;TunaNetra,"Inklusif: Dukung aksesibilitas untuk semua
Edukasi: Cara membuat konten yang ramah tunanetra",true
Hari Air Sedunia,Kesadaran air — cocok untuk brand sustainability,3,22,international,umum,WaterDay;HariAir,"Edukasi: Fakta air yang mengejutkan
Tips: Cara hemat air dalam operasional bisnis",true
Hari Dongeng Nasional,Konten storytelling — momentum cerita kreatif,11,28,national,umum,HariDongeng;Storytelling,"Storytelling: Ceritakan asal-usul brandmu seperti dongeng
Tips: 5 cara bercerita yang menarik di media sosial",true
